batch,state,priority_order,district_name,city,county,staff_directory_url,page_title,visibility_status,names_visible,emails_visible,observed_email_domains,email_pattern_or_note,source_method,checked_candidates
CA-01,CA,1,Abc Unified School District,Cerritos,Los Angeles County,https://www.abcusd.us/apps/staff/,Staff Directory | ABC Unified School District,visible_names_no_emails,yes,no,,no visible email found; district Edlio staff pages provide names/roles; email may require contact form,Manual web search verification with page text scan,
CA-01,CA,2,Academia Avance Charter District,Los Angeles,Los Angeles County,https://www.academiaavance.org/apps/staff/,Staff Directory | Academia Avance Charter,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @academiaavance.org (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.academiaavance.org/apps/staff/ (emails:0 names:True)
CA-01,CA,3,Academy for Academic Excellence District,Apple Valley,San Bernardino County,http://aae.lewiscenter.org/Staff-Directory/,Academy for Academic Excellence - Staff Directory,visible_names_no_emails,yes,no,,no visible email found; pattern not verified,Manual web search verification with page text scan,
CA-01,CA,4,Acalanes Union High School District,Lafayette,Contra Costa County,https://www.acalanes.k12.ca.us/staff-directory,Staff Directory - Acalanes Union High,visible_names_and_emails,yes,yes,auhsdschools.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.acalanes.k12.ca.us/staff-directory (emails:3 names:True)
CA-01,CA,5,Accelerated Achievement Academy District,Ukiah,Mendocino County,https://mps.school/aal/about/staff-directory/,Staff Directory | Academy of Accelerated Learning,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @mps.school (pattern not verified),DuckDuckGo result fetched and page text scanned,https://mps.school/aal/about/staff-directory/ (emails:0 names:True)
CA-01,CA,6,Ackerman Charter School District,Auburn,Placer County,https://www.ackerman.k12.ca.us/school/staff-and-faculty,Bowman Charter School - Staff and Faculty,visible_names_and_emails,yes,yes,bowmancharter.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.ackerman.k12.ca.us/school/staff-and-faculty (emails:46 names:True)
CA-01,CA,7,Acton-Agua Dulce Unified School District,Acton,Los Angeles County,https://www.aadusd.k12.ca.us/district-info/district-staff,District Staff,visible_names_no_emails,yes,no,,no visible email found; pattern not verified,Manual web search verification with page text scan,
CA-01,CA,8,Adelanto Elementary School District,Adelanto,San Bernardino County,https://www.aesd.net/about-us/staff-directory,District Staff Directory - Adelanto Elementary School District,visible_names_no_emails,yes,no,,no visible email found; possible domain only: @aesd.net (pattern not verified),DuckDuckGo result fetched and page text scanned,https://www.aesd.net/about-us/staff-directory (emails:0 names:True)
CA-01,CA,9,Alameda County Office of Education,Hayward,Alameda County,https://www.acoe.org/staff,Alameda County Office of Education - Staff Directory,visible_names_and_emails,yes,yes,acoe.org,published emails present; infer only from observed published addresses,DuckDuckGo result fetched and page text scanned,https://www.acoe.org/staff (emails:59 names:True)
CA-01,CA,10,Alameda Unified School District,Alameda,Alameda County,https://www.alamedaunified.org/departments,Departments - Alameda Unified School District,visible_names_no_emails,yes,no,,department contact/staff names visible; no districtwide staff email directory found in first pass,Manual web search verification with page text scan,
